OpenJDK 64-Bit Server VM (25.342-b07) for windows-amd64 JRE (1.8.0_342-b07), built on Jul 21 2022 18:16:14 by "Administrator" with MS VC++ 12.0 (VS2013)
Memory: 4k page, physical 16586160k(8644348k free), swap 17634736k(2994716k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:InitialHeapSize=20971520 -XX:+ManagementServer -XX:MaxHeapSize=20971520 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.118: [GC (Allocation Failure) [PSYoungGen: 5632K->512K(6144K)] 5632K->1569K(19968K), 0.0008592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.213: [GC (Allocation Failure) [PSYoungGen: 6144K->496K(6144K)] 7201K->2385K(19968K), 0.0007762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.256: [GC (Allocation Failure) [PSYoungGen: 6128K->487K(6144K)] 8017K->3466K(19968K), 0.0007030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.287: [GC (Allocation Failure) [PSYoungGen: 6119K->487K(6144K)] 9098K->4308K(19968K), 0.0008403 secs] [Times: user=0.09 sys=0.05, real=0.01 secs] 
0.320: [GC (Allocation Failure) [PSYoungGen: 6119K->487K(6144K)] 9940K->5038K(19968K), 0.0008261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.356: [GC (Allocation Failure) [PSYoungGen: 6119K->501K(3072K)] 10670K->5832K(16896K), 0.0012766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.372: [GC (Allocation Failure) [PSYoungGen: 3061K->841K(4608K)] 8392K->6502K(18432K), 0.0006788 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.390: [GC (Allocation Failure) [PSYoungGen: 3401K->768K(4608K)] 9062K->6588K(18432K), 0.0006668 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.409: [GC (Allocation Failure) [PSYoungGen: 3328K->672K(4608K)] 9148K->6628K(18432K), 0.0006587 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.424: [GC (Allocation Failure) [PSYoungGen: 3232K->627K(4608K)] 9188K->6880K(18432K), 0.0007162 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.438: [GC (Allocation Failure) [PSYoungGen: 3187K->544K(4608K)] 9440K->7089K(18432K), 0.0005676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.445: [GC (GCLocker Initiated GC) [PSYoungGen: 3044K->723K(4608K)] 9651K->7467K(18432K), 0.0005831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.452: [GC (Allocation Failure) [PSYoungGen: 3283K->583K(4608K)] 10045K->7584K(18432K), 0.0005924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (GCLocker Initiated GC) [PSYoungGen: 3143K->653K(4608K)] 10145K->7783K(18432K), 0.0006716 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.465: [GC (GCLocker Initiated GC) [PSYoungGen: 3213K->643K(4608K)] 10352K->7878K(18432K), 0.0006561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.473: [GC (Allocation Failure) [PSYoungGen: 3203K->715K(4608K)] 10458K->8087K(18432K), 0.0005666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.479: [GC (Allocation Failure) [PSYoungGen: 3275K->650K(4608K)] 10647K->8118K(18432K), 0.0007271 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.486: [GC (Allocation Failure) [PSYoungGen: 3204K->708K(4608K)] 10672K->8289K(18432K), 0.0011965 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
0.494: [GC (Allocation Failure) [PSYoungGen: 3267K->598K(4608K)] 10848K->8329K(18432K), 0.0005618 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.501: [GC (Allocation Failure) [PSYoungGen: 3158K->709K(4608K)] 10889K->8544K(18432K), 0.0005612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.507: [GC (Allocation Failure) [PSYoungGen: 3269K->512K(4608K)] 11104K->8592K(18432K), 0.0008424 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.514: [GC (Allocation Failure) [PSYoungGen: 3065K->576K(5120K)] 11146K->8779K(18944K), 0.0007233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.529: [GC (Allocation Failure) [PSYoungGen: 3648K->621K(4608K)] 11851K->9003K(18432K), 0.0007007 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.544: [GC (Allocation Failure) [PSYoungGen: 3693K->624K(5120K)] 12075K->9149K(18944K), 0.0011238 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.567: [GC (Allocation Failure) [PSYoungGen: 4208K->1034K(5120K)] 12733K->9664K(18944K), 0.0007847 secs] [Times: user=0.09 sys=0.02, real=0.01 secs] 
0.575: [GC (Allocation Failure) [PSYoungGen: 4618K->444K(5120K)] 13248K->9602K(18944K), 0.0005902 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.596: [GC (Allocation Failure) [PSYoungGen: 4028K->1024K(5120K)] 13186K->10286K(18944K), 0.0007258 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
0.618: [GC (Allocation Failure) [PSYoungGen: 4608K->631K(5120K)] 13870K->10437K(18944K), 0.0006508 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.637: [GC (Allocation Failure) [PSYoungGen: 4215K->576K(5120K)] 14021K->10604K(18944K), 0.0007057 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.654: [GC (Allocation Failure) [PSYoungGen: 4160K->608K(5120K)] 14188K->10867K(18944K), 0.0006302 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.675: [GC (Allocation Failure) [PSYoungGen: 4192K->576K(5120K)] 14451K->11035K(18944K), 0.0008104 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.695: [GC (Allocation Failure) [PSYoungGen: 4134K->710K(5120K)] 14593K->11370K(18944K), 0.0006699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.713: [GC (Allocation Failure) [PSYoungGen: 4294K->767K(5120K)] 14954K->11656K(18944K), 0.0006924 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.716: [GC (Metadata GC Threshold) [PSYoungGen: 1269K->352K(5120K)] 12158K->11449K(18944K), 0.0006296 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.717: [Full GC (Metadata GC Threshold) [PSYoungGen: 352K->0K(5120K)] [ParOldGen: 11097K->7537K(13824K)] 11449K->7537K(18944K), [Metaspace: 20214K->20214K(1067008K)], 0.0304324 secs] [Times: user=0.17 sys=0.00, real=0.04 secs] 
0.768: [GC (Allocation Failure) [PSYoungGen: 3584K->720K(5120K)] 11121K->8265K(18944K), 0.0007338 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.782: [GC (Allocation Failure) [PSYoungGen: 4304K->666K(5120K)] 11849K->8460K(18944K), 0.0008097 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.799: [GC (Allocation Failure) [PSYoungGen: 4250K->632K(5120K)] 12044K->8594K(18944K), 0.0006815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.817: [GC (Allocation Failure) [PSYoungGen: 4216K->672K(5120K)] 12178K->8763K(18944K), 0.0008242 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
0.835: [GC (Allocation Failure) [PSYoungGen: 4248K->747K(5120K)] 12339K->9126K(18944K), 0.0007323 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.862: [GC (Allocation Failure) [PSYoungGen: 4331K->755K(5120K)] 12710K->9438K(18944K), 0.0011749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.881: [GC (Allocation Failure) [PSYoungGen: 4339K->576K(5120K)] 13022K->9651K(18944K), 0.0008969 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.897: [GC (Allocation Failure) [PSYoungGen: 4160K->704K(5632K)] 13235K->10041K(19456K), 0.0008445 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.913: [GC (Allocation Failure) [PSYoungGen: 5312K->986K(5632K)] 14649K->10636K(19456K), 0.0006769 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.932: [GC (Allocation Failure) [PSYoungGen: 5578K->987K(4608K)] 15227K->10981K(18432K), 0.0008863 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.945: [GC (Allocation Failure) [PSYoungGen: 4571K->550K(5120K)] 14565K->10840K(18944K), 0.0006506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.964: [GC (Allocation Failure) [PSYoungGen: 4134K->824K(5120K)] 14424K->11342K(18944K), 0.0007722 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.980: [GC (Allocation Failure) [PSYoungGen: 4408K->690K(5120K)] 14926K->11595K(18944K), 0.0008420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.001: [GC (Allocation Failure) [PSYoungGen: 4274K->736K(5120K)] 15179K->11880K(18944K), 0.0008139 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.017: [GC (Allocation Failure) [PSYoungGen: 4320K->576K(5120K)] 15464K->12080K(18944K), 0.0009644 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1.034: [GC (Allocation Failure) [PSYoungGen: 4160K->758K(5120K)] 15664K->12583K(18944K), 0.0009217 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.048: [GC (Allocation Failure) [PSYoungGen: 4342K->876K(5120K)] 16167K->13069K(18944K), 0.0008676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.062: [GC (Allocation Failure) [PSYoungGen: 4460K->645K(5120K)] 16653K->13265K(18944K), 0.0008642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.082: [GC (Allocation Failure) [PSYoungGen: 4229K->696K(5120K)] 16849K->13505K(18944K), 0.0008951 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.099: [GC (Allocation Failure) [PSYoungGen: 4280K->672K(5632K)] 17089K->13737K(19456K), 0.0009172 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.130: [GC (Allocation Failure) [PSYoungGen: 5280K->631K(5632K)] 18345K->13953K(19456K), 0.0010976 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.131: [Full GC (Ergonomics) [PSYoungGen: 631K->0K(5632K)] [ParOldGen: 13321K->10081K(13824K)] 13953K->10081K(19456K), [Metaspace: 27921K->27921K(1075200K)], 0.0333951 secs] [Times: user=0.03 sys=0.00, real=0.04 secs] 
30.630: [GC (Allocation Failure) [PSYoungGen: 4608K->702K(5632K)] 14689K->10791K(19456K), 0.0009692 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
30.653: [GC (Allocation Failure) [PSYoungGen: 5310K->1005K(5632K)] 15399K->11178K(19456K), 0.0016702 secs] [Times: user=0.16 sys=0.00, real=0.00 secs] 
